"dataset","quantity","variable","value"
"hypoxia","coef","tumsize",0.260309555167442
"hypoxia","coef","ifp",0.0326664011624452
"hypoxia","coef","pelnode",-0.779114025654173
"hypoxia","se_robust","tumsize",0.097534567132774
"hypoxia","se_robust","ifp",0.0172391287824328
"hypoxia","se_robust","pelnode",0.427843703197367
"hypoxia","se_model","tumsize",0.093681789879146
"hypoxia","se_model","ifp",0.0192229127037476
"hypoxia","se_model","pelnode",0.408160438718793
"hypoxia","loglik","final",-138.530800547894
"hypoxia","loglik","null",-148.652701848846
"hypoxia","cumbasehaz","tmax",0.0813224087655316
"hypoxia","cif_ref","t2",0.0578615418340342
"hypoxia","cif_ref","t5",0.0637560128507071
"hypoxia","cif_ref","t10",0.0781035839603583
"hypoxia","fastcmprsk_coef","tumsize",0.260309591548626
"hypoxia","fastcmprsk_coef","ifp",0.0326664039480159
"hypoxia","fastcmprsk_coef","pelnode",-0.779114049593566
"hypoxia","fastcmprsk_se","tumsize",0.104301271277558
"hypoxia","fastcmprsk_se","ifp",0.0204195073517122
"hypoxia","fastcmprsk_se","pelnode",0.517037461181561
"hypoxia","fastcmprsk_loglik","final",-138.530800547894
"hypoxia","fastcmprsk_loglik","null",-148.652701848846
"hypoxia","fastcmprsk_cumbasehaz","tmax",0.0813223857819045
"hypoxia","fastcmprsk_cif_ref","t2",0.0578615257104248
"hypoxia","fastcmprsk_cif_ref","t5",0.0637559952815078
"hypoxia","fastcmprsk_cif_ref","t10",0.0781035627718346
