"variable","time_func","rho","chi2","p_value","n_events"
"tumsize","rank",-0.380801672065071,4.78532714376927,0.0287031949399414,33
"ifp","rank",-0.0346454916618045,0.0396102330521095,0.842244598768315,33
"pelnode","rank",0.154392734718935,0.786624845621721,0.375122653208726,33
"GLOBAL","rank",NA,5.6115622224431,0.132116156884994,33
"tumsize","log",-0.383556893897141,4.85482439824876,0.0275689199313025,33
"ifp","log",-0.066464435626613,0.145778199704418,0.7026029578573,33
"pelnode","log",0.201940001404508,1.34573221751934,0.246025604246488,33
"GLOBAL","log",NA,6.34633481547252,0.0959237108853986,33
"tumsize","identity",-0.347031914908986,3.97422794885813,0.0462016287600567,33
"ifp","identity",0.0726558646447159,0.174202864019952,0.676403285210446,33
"pelnode","identity",0.0892677677514557,0.262968233857819,0.60808823265769,33
"GLOBAL","identity",NA,4.4113990467359,0.220330755463431,33
