"dataset","ctype","quantity","variable","value"
"TIES",1,"converged","_all",1
"TIES",1,"coef","x1",0.340532157145094
"TIES",1,"se","x1",0.0573071792362665
"TIES",1,"coef","x2",-0.535295415337481
"TIES",1,"se","x2",0.120880853115432
"TIES",2,"converged","_all",1
"TIES",2,"coef","x1",0.3407351906679
"TIES",2,"se","x1",0.0679055834840006
"TIES",2,"coef","x2",-0.533640921715528
"TIES",2,"se","x2",0.125523119861046
"K4",1,"converged","_all",1
"K4",1,"coef","x1",0.401080004200606
"K4",1,"se","x1",0.0592278775999404
"K4",1,"coef","x2",-0.580749398768353
"K4",1,"se","x2",0.119298732301545
"K4",2,"converged","_all",1
"K4",2,"coef","x1",0.400096802916044
"K4",2,"se","x1",0.0439044423739359
"K4",2,"coef","x2",-0.582932448423371
"K4",2,"se","x2",0.0838471994733369
"K2",1,"converged","_all",1
"K2",1,"coef","x1",0.305156501298797
"K2",1,"se","x1",0.0636155300449549
"K2",1,"coef","x2",-0.760904174009156
"K2",1,"se","x2",0.132764663764299
"K2",2,"converged","_all",1
"K2",2,"coef","x1",0.305026849385423
"K2",2,"se","x1",0.0495061755406557
"K2",2,"coef","x2",-0.758426458315432
"K2",2,"se","x2",0.0820753694180229
