"id","L","X","status","z1","z2","cgroup","tgroup"
1,0,0.49141201430751,1,0,0.814381786996468,0,1
2,0,0.51368204042133,1,1,-1.38060194613853,1,0
3,0,0.334687537203232,0,0,0.571317818530961,0,1
4,0,0.211680984672317,1,0,-1.60488499008187,0,0
5,0,0.324162701902012,1,1,-0.0442697737405443,1,0
6,0,0.505685032285607,1,1,-0.217216689181232,1,0
7,0,2.3268689934114,1,1,-0.0365549334310925,1,0
8,0,0.706718225652973,0,1,-0.302856450360995,1,0
9,0,1.35309675091797,1,1,0.587015974646054,1,1
10,0,1.43409996515635,1,0,-0.383609861909402,0,0
11,0,0.361384546058837,2,1,0.415117628308256,1,1
12,0,0.672527447259531,1,0,0.728048453021441,0,1
13,0,1.44370274402134,2,1,1.35230538022825,1,1
14,0,0.336113196968271,2,0,1.08689985516434,0,1
15,0,0.85277658649432,1,0,0.681481577447203,0,1
16,0,0.461286110445649,1,0,2.51480781739899,0,1
17,0,1.25955914491147,1,1,-1.05124909624777,1,0
18,0,0.132532025080795,1,0,-0.706474085397117,0,0
19,0,0.412584838807505,1,0,0.389292264076568,0,1
20,0,0.372339171925266,2,1,1.50506206162372,1,1
21,0,1.49165220387756,1,1,1.1003831697462,1,1
22,0,0.0909347181942351,1,1,0.508072398487441,1,1
23,0,1.91575424263862,1,1,0.268233530692254,1,1
24,0,1.06089149681625,2,0,-0.541836283346102,0,0
25,0,0.48447060679991,1,0,-0.170506524070424,0,0
26,0,0.261496847052768,2,0,-0.131912476568848,0,0
27,0,0.653523430971486,2,0,0.193128555471929,0,1
28,0,0.805060827337931,2,1,0.123709127687805,1,1
29,0,0.383799461986591,2,1,0.361537888324666,1,1
30,0,0.716593796296607,1,0,-0.748110620538246,0,0
31,0,1.23752740558707,2,0,-1.73640078834549,0,0
32,0,0.552435920454345,1,1,-2.12984495853792,1,0
33,0,1.01392599263467,2,1,1.45867420966997,1,1
34,0,1.81728385961904,2,0,-0.968269656457679,0,0
35,0,0.412858846857189,1,0,-1.07781059540993,0,0
36,0,0.310768689960241,0,1,1.88378539340445,1,1
37,0,0.139895678758131,2,1,1.54481036636892,1,1
38,0,1.41657607647177,1,0,-0.234029567014179,0,0
39,0,0.12972707977711,1,0,-0.432212374475273,0,0
40,0,1.97388177806596,1,1,-0.22165318378441,1,0
41,0,4.72086012872636,1,1,0.0871462672402284,1,1
42,0,2.24894835637924,1,1,0.270974716665042,1,1
43,0,0.122352580061873,0,0,0.401905716855885,0,1
44,0,0.297611679407527,2,1,1.1790558639135,1,1
45,0,0.416230068314846,2,0,0.272387946212435,0,1
46,0,1.45254491538478,1,1,-0.735630587271811,1,0
47,0,0.388709996443759,2,0,0.674911476572842,0,1
48,0,0.596840649015184,1,0,-0.192902339003867,0,0
49,0,1.23911933089601,1,1,-0.807349781833401,1,0
50,0,1.11433540340067,1,0,-2.83127688589342,0,0
51,0,0.84317420586329,1,0,0.796912576845366,0,1
52,0,1.08578126206238,2,0,-0.785519302465218,0,0
53,0,0.374831864047753,1,0,-2.05032450214435,0,0
54,0,1.65622204582486,1,1,-1.0191751446768,1,0
55,0,0.274198151402079,2,1,0.403266038056376,1,1
56,0,1.51250974224923,2,1,0.592006942449245,1,1
57,0,0.561328118227262,0,0,-0.06361522147187,0,0
58,0,0.106996245967476,1,0,-0.995251362458691,0,0
59,0,2.95933696727079,2,0,1.43679974185864,0,1
60,0,2.13492738514389,1,1,0.207471731300898,1,1
61,0,0.46226026649154,1,1,0.279959835588128,1,1
62,0,1.22160377923464,1,0,0.048676377227207,0,1
63,0,1.17574546381441,2,0,-0.159338784747258,0,0
64,0,0.0622550668009147,1,1,-0.898427981317801,1,0
65,0,1.80373244543694,2,0,0.448594911271697,0,1
66,0,1.40195434982869,2,0,1.16376034644227,0,1
67,0,0.826898163921486,1,1,0.416560928008072,1,1
68,0,0.243387191245953,0,0,0.339351255674782,0,1
69,0,1.16591516090216,1,1,0.328898725598737,1,1
70,0,0.0967654350625606,2,1,1.51211366074055,1,1
71,0,1.73735933976316,1,0,0.992621119379259,0,1
72,0,1.37528644996454,1,0,-0.285887818430881,0,0
73,0,2.08018870644313,2,1,0.0909370823588633,1,1
74,0,0.136454127108057,0,1,-0.952578853417205,1,0
75,0,0.059929413886849,1,0,1.2708242243317,0,1
76,0,0.938607378316354,1,1,-0.0546920966242049,1,0
77,0,0.594251871500935,1,0,1.29966891178214,0,1
78,0,0.639275963877276,0,0,-0.030719567151707,0,0
79,0,0.0395456539381416,1,0,-0.240022829595618,0,0
80,0,2.26314247035452,2,1,0.0100787878252268,1,1
81,0,0.00672794569753944,2,1,0.655622261590454,1,1
82,0,0.165642615143172,1,1,0.464256004953699,1,1
83,0,0.273940954049158,1,0,-2.30259666325768,0,0
84,0,0.881470871126484,1,1,0.0444359229320743,1,1
85,0,0.136858802387181,2,1,0.75855862477052,1,1
86,0,0.507318203249992,1,1,-1.98754759679301,1,0
87,0,0.340319309755622,1,0,-0.451127640732826,0,0
88,0,0.434721120934745,1,0,-1.30922442690851,0,0
89,0,0.445841143522068,1,0,-0.623940023662601,0,0
90,0,1.17139465822562,2,0,1.48935311757645,0,1
91,0,1.58290419104331,2,0,-0.804716074526443,0,0
92,0,0.0265931389148666,1,1,0.27622351916493,1,1
93,0,0.685702505770817,1,1,-0.259876339057041,1,0
94,0,0.720330351168056,1,1,-0.094808857357336,1,0
95,0,2.85312357780412,2,1,-0.221141357010345,1,0
96,0,1.3774550737434,2,1,0.135259947484114,1,1
97,0,4.00077238637546,2,0,0.907435887489942,0,1
98,0,0.140255113034875,0,0,0.412656341035414,0,1
99,0,1.71703972759209,0,0,-0.818240096787347,0,0
100,0,0.169117334179899,2,1,-0.667312925944982,1,0
101,0,0.363066459019285,1,1,-0.482062103480061,1,0
102,0,0.0887652714522799,1,0,-2.31168901138202,0,0
103,0,0.65393932885697,2,1,2.55850772119301,1,1
104,0,0.128736577145386,0,1,-0.267255330495923,1,0
105,0,0.123147578640679,2,1,2.26692513877319,1,1
106,0,1.97720669693126,1,0,0.447315539307602,0,1
107,0,2.58920047694373,2,0,0.399918888721983,0,1
108,0,0.0116332300444997,2,1,1.27277019233828,1,1
109,0,1.30115557151536,0,0,-0.905976932388977,0,0
110,0,1.0147117674177,1,1,0.632404396840896,1,1
111,0,1.3601118295081,2,0,0.806967636777152,0,1
112,0,0.842407362439455,1,0,0.36107981059146,0,1
113,0,0.13143436326638,1,1,-2.41384581104381,1,0
114,0,0.0643828959813241,1,1,-0.358865342814983,1,0
115,0,0.738705311333944,1,0,0.675877760770303,0,1
116,0,0.437615243042188,2,1,0.344842839177995,1,1
117,0,0.283295403307275,1,1,-0.256833262812807,1,0
118,0,0.595084742085846,1,1,-0.597324202532638,1,0
119,0,0.916773186595661,1,1,-0.369506303737388,1,0
120,0,0.101595966754907,1,1,-0.286474148261279,1,0
121,0,0.846740294917611,1,1,0.979300430136703,1,1
122,0,0.0870506025693708,1,1,0.245757169732841,1,1
123,0,0.284055597413995,1,0,-1.70841008397012,0,0
124,0,1.42255102460805,1,1,0.0846786199139602,1,1
125,0,0.16080024766118,0,1,1.53147869586988,1,1
126,0,0.86986091130463,2,1,-0.16445853403263,1,0
127,0,0.0330306792808451,1,1,-0.873365384554999,1,0
128,0,0.433292938443989,1,0,-1.47366505326695,0,0
129,0,0.224175164977982,1,1,-0.251982775476292,1,0
130,0,1.18418557153133,2,1,2.05443098823465,1,1
131,0,0.204147266481237,2,0,0.585815124870237,0,1
132,0,0.437171716980246,2,0,0.330766471785849,0,1
133,0,2.30198344901148,2,1,-1.45501040287666,1,0
