"arm","rep","n","trunc","method","b1","b2","ll","nevent"
"A",1,3000,"none","pooled",0.501311359839947,-0.460522894388124,-12070.0522061596,1629
"A",2,3000,"none","pooled",0.499660621309513,-0.543623472825105,-11782.5896023189,1595
"A",3,3000,"none","pooled",0.436633477664917,-0.483603195414093,-11630.3548670143,1568
"A",4,3000,"none","pooled",0.514847579077643,-0.499470448473132,-11516.3648054828,1557
"A",5,3000,"none","pooled",0.422319443029902,-0.50342156893968,-11623.3101729383,1565
"A",6,3000,"none","pooled",0.497931046937726,-0.470457544700925,-11462.7909178212,1544
"A",7,3000,"none","pooled",0.481736348674973,-0.466770306607426,-11684.6644045453,1574
"A",8,3000,"none","pooled",0.460361911702682,-0.442479066972618,-11410.5274741916,1536
"A",9,3000,"none","pooled",0.54318374058071,-0.497274186531116,-11585.9281369467,1568
"A",10,3000,"none","pooled",0.396026493614091,-0.543664129132478,-11396.7992023328,1541
"A",11,3000,"none","pooled",0.458480177396464,-0.497323224962696,-11742.2593999517,1588
"A",12,3000,"none","pooled",0.543160364358317,-0.551290662453268,-11194.8006195813,1519
"A",13,3000,"none","pooled",0.525492502045679,-0.487387627288186,-12131.8429057832,1642
"A",14,3000,"none","pooled",0.4444646223383,-0.495866170110556,-11912.1778749042,1612
"A",15,3000,"none","pooled",0.544064131738838,-0.51070141756912,-11421.9952321869,1547
"A",16,3000,"none","pooled",0.529579581115492,-0.50997143708049,-11640.0643371455,1573
"A",17,3000,"none","pooled",0.496763599465428,-0.558849735661129,-11852.31172021,1610
"A",18,3000,"none","pooled",0.479956954718324,-0.518411720530241,-11550.3399335739,1561
"A",19,3000,"none","pooled",0.477771939448744,-0.531763391859503,-12059.3799910638,1634
"A",20,3000,"none","pooled",0.551771219746528,-0.538520160352909,-11475.7833550513,1553
"B",1,3000,"independent","pooled",0.432176014271061,-0.478123742426849,-10626.6110760275,1458
"B",2,3000,"independent","pooled",0.595207497454961,-0.521399387865029,-10427.2731724729,1435
"B",3,3000,"independent","pooled",0.383123500138863,-0.504081728279568,-10315.6983025875,1406
"B",4,3000,"independent","pooled",0.467173167973191,-0.543415897545379,-10202.0693003261,1401
"B",5,3000,"independent","pooled",0.662831758730524,-0.48752857479846,-10372.3358816214,1406
"B",6,3000,"independent","pooled",0.606035458752887,-0.551529395464841,-10026.0320992709,1373
"B",7,3000,"independent","pooled",0.508964029201145,-0.451212376468715,-10734.8461944716,1469
"B",8,3000,"independent","pooled",0.497657178983837,-0.444186099780828,-10480.6256218184,1429
"B",9,3000,"independent","pooled",0.483834899801268,-0.482314334948028,-10627.7637899022,1445
