"fixture","spec","quantity","variable","value"
"gap_pooled","pooled","b","z1",0.0640058945035959
"gap_pooled","pooled","b","z2",0.0901207738442827
"gap_pooled","pooled","ll","a",-1851.42146177688
"gap_pooled","pooled","mw","a",1.43351267887019
"gap_pooled","pooled","nc","a",1918
"gap_pooled","pooled","sn","a",1918
"gap_pooled","pooled","bs","z1",0.0737781997934746
"gap_pooled","pooled","bs","z2",-0.0402848159084141
"gap_strata","pooled","b","z1",0.0762674491538878
"gap_strata","pooled","b","z2",-0.126902093298216
"gap_strata","pooled","ll","a",-2609.57286506545
"gap_strata","pooled","mw","a",5.14012855043686
"gap_strata","pooled","nc","a",1890
"gap_strata","pooled","sn","a",1890
"gap_strata","pooled","bs","z1",0.0841882781962865
"gap_strata","pooled","bs","z2",-0.117923131712973
"gap_strata","strata","b","z1",0.0856930897100932
"gap_strata","strata","b","z2",-0.12430124502478
"gap_strata","strata","ll","a",-2734.554110234
"gap_strata","strata","mw","a",2.57006427521843
"gap_strata","strata","nc","a",1890
"grid_pooled","pooled","b","z1",0.0727592269759465
"grid_pooled","pooled","b","z2",0.0014237209368012
"grid_pooled","pooled","ll","a",-1896.71195618968
"grid_pooled","pooled","mw","a",2.80040890744546
"grid_pooled","pooled","nc","a",2125
"grid_pooled","pooled","sn","a",0
"grid_pooled","pooled","bs","z1",0.0727592269759467
"grid_pooled","pooled","bs","z2",0.00142372093680149
"grid_strata","pooled","b","z1",-0.013632241828967
"grid_strata","pooled","b","z2",0.0612995312974002
"grid_strata","pooled","ll","a",-2727.38701061312
"grid_strata","pooled","mw","a",5.48202045099994
"grid_strata","pooled","nc","a",1759
"grid_strata","pooled","sn","a",0
"grid_strata","pooled","bs","z1",-0.0136322418289661
"grid_strata","pooled","bs","z2",0.0612995312973972
"grid_strata","strata","b","z1",-0.0272467226295075
"grid_strata","strata","b","z2",0.0792098727342158
"grid_strata","strata","ll","a",-2822.71096708747
"grid_strata","strata","mw","a",2.74101022549997
"grid_strata","strata","nc","a",1759
