"fixture","spec","time","Lambda0"
"gap_pooled","pooled",1.25,0.0204685599542626
"gap_pooled","pooled",1.5,0.0565856710947337
"gap_pooled","pooled",1.75,0.104972869086001
"gap_pooled","pooled",2,0.158934097966538
"gap_pooled","pooled",2.25,0.194627444096616
"gap_pooled","pooled",2.5,0.224694573356015
"gap_pooled","pooled",2.75,0.264807272822163
"gap_pooled","pooled",3,0.327961694276731
"gap_pooled","pooled",3.25,0.386949465323872
"gap_pooled","pooled",3.5,0.44464707404092
"gap_pooled","pooled",3.75,0.508122374761454
"gap_pooled","pooled",4,0.599281139393073
"gap_pooled","pooled",4.25,0.631510716621924
"gap_pooled","pooled",4.5,0.690116435027939
"gap_pooled","pooled",4.75,0.756616983302873
"gap_pooled","pooled",5,0.809854248893507
"gap_pooled","pooled",5.25,0.861248425625236
"gap_pooled","pooled",5.5,0.899432287724616
"gap_pooled","pooled",5.75,0.945428372886798
"gap_pooled","pooled",6,1.00181331456207
"gap_strata","pooled",0.75,0.0643758636144299
"gap_strata","pooled",1,0.100136679631243
"gap_strata","pooled",1.25,0.143205898300949
"gap_strata","pooled",1.5,0.187774953038011
"gap_strata","pooled",1.75,0.219952016791205
"gap_strata","pooled",2,0.266161198877561
"gap_strata","pooled",2.25,0.309330105045317
"gap_strata","pooled",2.5,0.359752888456411
"gap_strata","pooled",2.75,0.416615725830857
"gap_strata","pooled",3,0.468943081013518
"gap_strata","pooled",3.25,0.525266515310944
"gap_strata","pooled",3.5,0.594000854054196
"gap_strata","pooled",3.75,0.698458620750473
"gap_strata","pooled",4,0.766161587485342
"gap_strata","pooled",4.25,0.84812534501529
"gap_strata","pooled",4.5,0.89946891022104
"gap_strata","pooled",4.75,1.00424984707263
"gap_strata","pooled",5,1.08054681847516
"gap_strata","pooled",5.25,1.18186661272122
"gap_strata","pooled",5.5,1.25030513183849
"gap_strata","pooled",5.75,1.26127191840325
"gap_strata","pooled",6,1.30121210379639
"gap_strata","pooled",6.25,1.4123392712087
"gap_strata","pooled",6.5,1.45345626251599
"gap_strata","strata",0.75,0.0641728889355982
"gap_strata","strata",1,0.0998155983649133
"gap_strata","strata",1.25,0.147427604924301
"gap_strata","strata",1.5,0.194769719122678
"gap_strata","strata",1.75,0.227374555640701
"gap_strata","strata",2,0.274539911435838
"gap_strata","strata",2.25,0.31776047421716
"gap_strata","strata",2.5,0.368538639703988
"gap_strata","strata",2.75,0.425621365702355
"gap_strata","strata",3,0.478883630385227
"gap_strata","strata",3.25,0.536145764031667
"gap_strata","strata",3.5,0.606478160631386
"gap_strata","strata",3.75,0.713154000487519
"gap_strata","strata",4,0.78226099030448
"gap_strata","strata",4.25,0.864423746596058
"gap_strata","strata",4.5,0.916610011800306
"gap_strata","strata",4.75,1.02090414962673
"gap_strata","strata",5,1.09565073983899
"gap_strata","strata",5.25,1.19891995904899
"gap_strata","strata",5.5,1.27256468016716
"gap_strata","strata",5.75,1.28561623856195
"gap_strata","strata",6,1.3223720887982
"gap_strata","strata",6.25,1.42432883512037
"gap_strata","strata",6.5,1.46171793527415
"grid_pooled","pooled",0.25,0.036929132011678
"grid_pooled","pooled",0.5,0.0796546783216153
"grid_pooled","pooled",0.75,0.101364762391608
"grid_pooled","pooled",1,0.140349288536766
"grid_pooled","pooled",1.25,0.189058493642734
"grid_pooled","pooled",1.5,0.233073684228802
"grid_pooled","pooled",1.75,0.296874089824865
"grid_pooled","pooled",2,0.340822367054489
"grid_pooled","pooled",2.25,0.38253523285163
"grid_pooled","pooled",2.5,0.430809514215941
"grid_pooled","pooled",2.75,0.477943683957332
"grid_pooled","pooled",3,0.531253525722893
"grid_pooled","pooled",3.25,0.570263386216058
"grid_pooled","pooled",3.5,0.612513909013121
"grid_pooled","pooled",3.75,0.665101244653855
"grid_pooled","pooled",4,0.753055630369234
"grid_pooled","pooled",4.25,0.783963618296839
"grid_pooled","pooled",4.5,0.854115760131862
"grid_pooled","pooled",4.75,0.88016712008525
"grid_pooled","pooled",5,0.930445778922917
"grid_pooled","pooled",5.25,0.966068559022143
"grid_pooled","pooled",5.5,0.989526917899562
"grid_pooled","pooled",5.75,1.01793227608048
"grid_pooled","pooled",6,1.06182261981895
"grid_strata","pooled",0.25,0.0184063576055786
"grid_strata","pooled",0.5,0.0513454725007359
"grid_strata","pooled",0.75,0.0824029839553767
"grid_strata","pooled",1,0.137752670185983
"grid_strata","pooled",1.25,0.168527039065146
"grid_strata","pooled",1.5,0.210227324993729
"grid_strata","pooled",1.75,0.262659712760791
"grid_strata","pooled",2,0.299641845806512
"grid_strata","pooled",2.25,0.334193443223314
"grid_strata","pooled",2.5,0.387213975310545
"grid_strata","pooled",2.75,0.437701551449681
"grid_strata","pooled",3,0.492236867761358
"grid_strata","pooled",3.25,0.53391236069105
"grid_strata","pooled",3.5,0.583233525469468
"grid_strata","pooled",3.75,0.665132204533362
"grid_strata","pooled",4,0.765504373340761
"grid_strata","pooled",4.25,0.813740261657518
"grid_strata","pooled",4.5,0.9032683434947
"grid_strata","pooled",4.75,0.976939459242183
"grid_strata","pooled",5,1.00250192478178
"grid_strata","pooled",5.25,1.0582899417716
"grid_strata","pooled",5.5,1.12860384787552
"grid_strata","pooled",5.75,1.21750191676451
"grid_strata","pooled",6,1.25088849109539
"grid_strata","pooled",6.25,1.31534251025898
"grid_strata","strata",0.25,0.0182386475903918
"grid_strata","strata",0.5,0.0508535710878978
"grid_strata","strata",0.75,0.0822427838884638
"grid_strata","strata",1,0.137894098966371
"grid_strata","strata",1.25,0.16763179279057
"grid_strata","strata",1.5,0.209482791224635
"grid_strata","strata",1.75,0.263345721764666
"grid_strata","strata",2,0.301029206967777
"grid_strata","strata",2.25,0.334264758341163
"grid_strata","strata",2.5,0.386066953631775
"grid_strata","strata",2.75,0.436989481655175
"grid_strata","strata",3,0.492259628007868
"grid_strata","strata",3.25,0.534630662995536
"grid_strata","strata",3.5,0.584690058341735
"grid_strata","strata",3.75,0.667748870323672
"grid_strata","strata",4,0.76996329751101
"grid_strata","strata",4.25,0.818949636547229
"grid_strata","strata",4.5,0.913153377082119
"grid_strata","strata",4.75,0.987921796972318
"grid_strata","strata",5,1.01465017819243
"grid_strata","strata",5.25,1.07158442929306
"grid_strata","strata",5.5,1.14656617406468
"grid_strata","strata",5.75,1.24446684424136
"grid_strata","strata",6,1.28084719883412
"grid_strata","strata",6.25,1.3438765876438
