"X","eps","Z","Z2"
2,1,0,1.261
2,2,0,0.701
2,1,1,0.433
3,0,1,-0.923
3,1,1,-0.616
4,1,1,-0.867
4,1,0,-1.64
4,2,1,-1.326
6,1,0,-0.889
6,0,0,-0.558
6,1,0,-0.062
7,1,1,2.423
8,1,0,0.343
8,2,0,0.004
8,1,0,0.029
8,0,0,-0.393
8,1,1,-0.793
8,1,0,-0.312
8,1,1,-0.346
8,2,1,-0.305
9,1,1,-1.786
9,0,0,0.587
10,1,1,1.636
10,1,0,-0.645
11,1,0,0.619
11,2,0,0.236
12,1,0,0.847
12,0,0,-0.574
13,1,1,1.118
13,1,0,-1.54
14,1,1,-0.438
14,2,0,-0.151
15,1,1,0.519
15,0,0,0.588
15,1,1,-0.079
15,1,0,-1.174
16,1,0,0.309
16,2,1,-1.604
17,1,1,0.991
18,0,1,1.023
18,1,1,0.84
19,1,1,0.12
19,1,0,-0.426
20,2,1,0.459
21,1,1,0.645
21,0,0,0.612
21,1,1,-0.889
21,1,0,1.544
22,1,1,-1.242
22,2,0,1.103
22,1,1,0.983
22,0,0,0.304
23,1,1,-1.555
23,1,0,1.57
24,1,1,0.688
24,2,1,-0.178
24,1,1,0.729
24,0,1,1.533
24,1,1,0.507
25,1,1,0.033
