"X","eps","Z","Z2","cg"
1,1,0,0.2,1
3,1,1,-1.73,2
10,1,0,0.49,1
15,1,0,2.06,3
16,1,0,-1.06,1
11,2,1,-0.87,2
4,0,1,0.49,1
10,2,1,-2.21,2
6,0,1,0.55,2
8,1,0,0.02,2
6,1,1,0.61,2
2,2,1,0.64,3
3,1,0,0.69,1
12,2,1,-0.41,3
14,1,0,1.37,2
10,1,0,-0.27,2
14,1,1,0.95,3
1,0,0,0.77,3
10,2,0,-1.8,1
8,0,0,-0.96,3
7,1,0,0.72,3
10,2,0,0.15,2
8,1,0,0.77,2
16,1,0,-0.37,3
2,2,0,0.22,1
3,2,1,-0.89,2
14,2,0,0.09,1
1,1,1,-1.15,2
17,0,0,-0.98,3
1,1,0,0.29,3
9,0,1,1.6,2
10,0,1,1.48,1
16,0,1,0.23,3
5,0,1,-0.8,3
8,2,0,0.09,1
5,2,1,1.62,3
9,1,1,-1.16,2
9,1,0,1.88,1
2,1,0,-0.24,3
16,1,1,0.36,3
4,1,0,0.85,2
5,0,0,0.51,3
7,1,0,0.09,3
8,2,0,-0.86,1
10,2,0,-0.06,1
12,2,0,0.7,3
18,0,1,0.59,1
12,0,0,1.04,3
11,0,1,0.35,1
18,0,0,0.07,1
5,1,1,-0.72,2
1,0,1,-0.14,2
13,2,1,0.75,2
8,2,0,-2.25,2
10,1,1,-1.11,1
10,1,0,-1.6,2
11,1,1,0.51,1
2,1,0,0.82,3
7,0,1,-1.27,3
2,1,1,0.2,3
15,1,0,1.63,1
6,1,0,-0.26,1
15,0,0,0.58,1
15,0,1,-0.54,2
13,2,1,-0.66,2
5,0,1,0.03,3
17,2,1,-0.44,2
5,1,0,-0.07,3
5,0,0,-0.1,3
5,2,0,-2.53,1
6,0,1,-2.16,1
2,1,1,1.34,2
18,0,1,-1.17,2
8,1,1,1.07,3
7,1,1,-1.05,1
9,1,0,1.23,3
6,1,1,0.38,1
17,1,0,1.35,2
3,1,0,-1.18,1
9,1,1,-1.23,2
11,1,1,0.46,2
3,2,1,-0.25,1
16,1,1,-0.34,2
18,1,0,0.02,3
3,1,0,0.97,3
17,1,1,1.14,1
3,0,1,-1.49,2
10,0,0,0.35,3
4,1,0,1.19,3
6,2,0,2.3,2
15,0,1,0.59,1
3,0,0,2,3
5,0,0,0.99,1
17,2,1,0.18,2
6,1,0,-1.39,2
9,0,0,-0.35,3
2,0,1,0.27,2
12,1,0,0.27,1
8,2,1,0.46,1
18,0,0,0.69,2
11,1,1,-2.17,3
2,0,0,-0.64,3
4,1,0,-2.26,1
14,1,1,-0.52,1
18,1,1,1.43,2
18,1,0,-0.55,3
10,1,0,1.91,1
12,1,0,-0.96,1
11,0,0,0.59,2
8,0,1,-0.85,2
17,0,1,0.4,3
6,1,1,-1.61,3
5,2,0,0.29,3
15,0,1,0.83,1
1,0,0,-2.94,3
18,2,1,-0.28,1
17,1,1,-0.23,3
15,1,0,0.18,1
11,1,1,0.25,3
7,0,0,-2.63,1
