"fixture","term_i","term_j","cov_eta","cov_eta_psi","cov_crr"
"f4","Z","Z2",0.0111118483554118,0.0112817018026424,0.0112817018026424
"f5","Z","Z2",-0.000816818238779095,-0.000782067557038596,-0.000782067557038593
"pbc","Z","Z2",-0.0121459689037956,-0.0116589889443477,-0.0116589889443477
"pbc","Z","Z3",0.00484322236560494,0.00485177914062372,0.0048517791406237
"pbc","Z","Z4",0.000197392978607126,0.000196087203714,0.000196087203714002
"pbc","Z","Z5",-0.00604607083100478,-0.0060534943129649,-0.0060534943129649
"pbc","Z2","Z3",-0.0170691858853004,-0.0191835970932042,-0.0191835970932043
"pbc","Z2","Z4",-0.000276742822427506,-0.000275487362359668,-0.000275487362359674
"pbc","Z2","Z5",-0.0580465618490691,-0.0581677118622188,-0.058167711862219
"pbc","Z3","Z4",3.65657308659668e-05,4.38591100008798e-05,4.38591100008656e-05
"pbc","Z3","Z5",0.0653823751350432,0.0653929092986767,0.0653929092986768
"pbc","Z4","Z5",-0.000212771725270322,-0.000211931666600721,-0.000211931666600716
