"fixture","term","beta","var_eta","var_eta_psi","var_crr","n_ties_ev","n_cengroup"
"f1","Z",-0.378656069245867,0.405931755379125,0.406761420118805,0.406761420118805,1,1
"f2","Z",-0.0997406345677737,0.201024445650773,0.198447634721355,0.198447634721355,1,1
"f4","Z",-0.0310097185040624,0.106060234557981,0.105022201021452,0.105022201021452,5,1
"f4","Z2",-0.105901950334069,0.0317116737091372,0.0321634855096675,0.0321634855096675,5,1
"f5","Z",-0.359450588746811,0.0640648544413748,0.0640405093531697,0.0641023333107851,5,3
"f5","Z2",0.0608566746204041,0.0140885912251904,0.0141842290670707,0.0141085549104088,5,3
"pbc","Z",0.808617701539375,0.0078591941257722,0.0078440917103217,0.0078440917103217,2,1
"pbc","Z2",3.04270705709507,0.828014679439635,0.818654167342654,0.818654167342654,2,1
"pbc","Z3",-2.05972416900666,0.380374408455576,0.380101664932131,0.380101664932131,2,1
"pbc","Z4",0.0444875556927457,7.82468967308049e-05,7.8428339982941e-05,7.8428339982941e-05,2,1
"pbc","Z5",0.958733738460566,0.0940307118424892,0.0940077030936605,0.0940077030936606,2,1
