"dataset","ctype","quantity","row","col","value"
"bce",1,"coef","x1","",0.431146823051495
"bce",1,"coef","x2","",0.0101070986486604
"bce",1,"coef","x3","",-0.0220852975330193
"bce",1,"vcov","x1","x1",0.0147517750981671
"bce",1,"vcov","x1","x2",-0.000101207514752855
"bce",1,"vcov","x1","x3",-0.00101380008206844
"bce",1,"vcov","x2","x1",-0.000101207514752855
"bce",1,"vcov","x2","x2",3.17349800664084e-05
"bce",1,"vcov","x2","x3",7.75207215362483e-06
"bce",1,"vcov","x3","x1",-0.00101380008206844
"bce",1,"vcov","x3","x2",7.75207215362485e-06
"bce",1,"vcov","x3","x3",0.0004937632443683
"bce",1,"meta","n_total","",200
"bce",1,"meta","n_used","",200
"bce",1,"meta","n_strata","",2
"bce",1,"meta","n_fail","",125
"bce",1,"meta","n_compete","",50
"bce",1,"meta","converged","",1
"bce",2,"coef","x1","",0.43076176144356
"bce",2,"coef","x2","",0.0101170456825756
"bce",2,"coef","x3","",-0.0220169723297253
"bce",2,"meta","n_total","",200
"bce",2,"meta","n_used","",200
"bce",2,"meta","n_strata","",2
"bce",2,"meta","n_fail","",125
"bce",2,"meta","n_compete","",50
"bce",2,"meta","converged","",1
"center",2,"coef","x1","",0.0581940958203325
"center",2,"coef","x2","",0.013854601325255
"center",2,"meta","n_total","",400
"center",2,"meta","n_used","",383
"center",2,"meta","n_strata","",149
"center",2,"meta","n_fail","",189
"center",2,"meta","n_compete","",70
"center",2,"meta","converged","",1
"center",3,"coef","x1","",0.289385199350095
"center",3,"coef","x2","",-0.224585578108296
"center",3,"vcov","x1","x1",0.0218887944730387
"center",3,"vcov","x1","x2",0.0036551118228966
"center",3,"vcov","x2","x1",0.0036551118228966
"center",3,"vcov","x2","x2",0.0190443896986608
"center",3,"meta","n_total","",400
"center",3,"meta","n_used","",383
"center",3,"meta","n_strata","",149
"center",3,"meta","n_fail","",189
"center",3,"meta","n_compete","",70
"center",3,"meta","converged","",1
