"dataset","quantity","variable","value"
"fvcl","coef","x1",0.604712539077265
"fvcl","se_robust","x1",0.0816187266595446
"fvcl","coef","g2",0.207323710195349
"fvcl","se_robust","g2",0.188108911872103
"fvcl","coef","g3",-0.424093500146046
"fvcl","se_robust","g3",0.192136014207128
"fvcl","loglik","final",-1660.23075871839
"fvcl","loglik","null",-1708.5064649234
"fvcl","se_cluster","x1",0.0730365250281509
"fvcl","se_cluster","g2",0.166947087997925
"fvcl","se_cluster","g3",0.187694200539881
"fvcl","cif_ref","t05",0.155267887047341
"fvcl","cif_ref","t1",0.253501557974603
"fvcl","cif_ref","t2",0.330588168974661
"cont","coef","x1",0.630813302622056
"cont","se_robust","x1",0.0839384774539263
"cont","coef","x2",-0.384643854482044
"cont","se_robust","x2",0.254822146531787
"cont","loglik","final",-1674.09212861671
"cont","loglik","null",-1719.71155019486
"cont","se_cluster","x1",0.0826609429000468
"cont","se_cluster","x2",0.219540325769398
"cont","cif_ref","t05",0.121722030558166
"cont","cif_ref","t1",0.203401682941861
"cont","cif_ref","t2",0.296775990145058
