"dataset","quantity","variable","value"
"CG","coef","x2",-0.496882512832238
"CG","coef","tvc1",0.677849854820106
"CG","coef","tvc2",0.217192657107704
"CG","coef","tvc3",-0.377228726310612
"CG","se","x2",0.0880486557695623
"CG","se","tvc1",0.0595063396136962
"CG","se","tvc2",0.0741366819240578
"CG","se","tvc3",0.100915456840649
"CG","vcov","v1_1",0.00775256578282688
"CG","vcov","v1_2",-0.000378522511539175
"CG","vcov","v1_3",-0.000367403323062254
"CG","vcov","v1_4",-0.000171491937580893
"CG","vcov","v2_2",0.00354100445422055
"CG","vcov","v2_3",0.000139079246793356
"CG","vcov","v2_4",-2.22316230059099e-05
"CG","vcov","v3_3",0.00549624760670892
"CG","vcov","v3_4",-0.000218874132811351
"CG","vcov","v4_4",0.0101839294293569
"CG","loglik","loglik",-3771.45202331658
"CG","nint","nint",3
"CG","coef_cg","x2",-0.492480681067541
"CG","coef_cg","tvc1",0.678372103991154
"CG","coef_cg","tvc2",0.221296280655381
"CG","coef_cg","tvc3",-0.354703637481099
"CG","se_cg","x2",0.0882348965236552
"CG","se_cg","tvc1",0.0594958743774813
"CG","se_cg","tvc2",0.0742424744947203
"CG","se_cg","tvc3",0.102864838123766
