"dataset","quantity","variable","value"
"TIES","coef","x2",-0.42565568588358
"TIES","coef","tvc1",0.661892140680679
"TIES","coef","tvc2",-0.260945762785191
"TIES","se","x2",0.0861670922994077
"TIES","se","tvc1",0.0513267901234029
"TIES","se","tvc2",0.0682119759965416
"TIES","vcov","v1_1",0.00742476779533464
"TIES","vcov","v1_2",-0.000249449145130098
"TIES","vcov","v1_3",-0.000318546771896171
"TIES","vcov","v2_2",0.00263443938437185
"TIES","vcov","v2_3",5.41111573772576e-06
"TIES","vcov","v3_3",0.00465287366935277
"TIES","loglik","loglik",-3807.74776297932
"TIES","nint","nint",2
"J3","coef","x2",-0.266358476901269
"J3","coef","tvc1",0.818388326166329
"J3","coef","tvc2",0.28241866535813
"J3","coef","tvc3",-0.366944883375558
"J3","se","x2",0.0868373671143608
"J3","se","tvc1",0.0646796797532302
"J3","se","tvc2",0.077954742401532
"J3","se","tvc3",0.0969269301404137
"J3","vcov","v1_1",0.00754072832735427
"J3","vcov","v1_2",0.00059552934226532
"J3","vcov","v1_3",-0.000401529648870661
"J3","vcov","v1_4",-3.21262039651615e-05
"J3","vcov","v2_2",0.00418346097298042
"J3","vcov","v2_3",9.76723529427982e-05
"J3","vcov","v2_4",0.000180731198829251
"J3","vcov","v3_3",0.00607694186288921
"J3","vcov","v3_4",0.000217785935018725
"J3","vcov","v4_4",0.00939482978644463
"J3","loglik","loglik",-3732.27707918955
"J3","nint","nint",3
"J2","coef","x2",-0.345435254526917
"J2","coef","tvc1",0.703932528719656
"J2","coef","tvc2",-0.197180663307719
"J2","se","x2",0.0852829993164281
"J2","se","tvc1",0.0524839672322683
"J2","se","tvc2",0.0684100321889673
"J2","vcov","v1_1",0.00727318997240588
"J2","vcov","v1_2",-6.29308982045137e-05
"J2","vcov","v1_3",0.000138906113247146
"J2","vcov","v2_2",0.00275456681643782
"J2","vcov","v2_3",0.00024755398242962
"J2","vcov","v3_3",0.00467993250409555
"J2","loglik","loglik",-3826.52139769223
"J2","nint","nint",2
