"dataset","quantity","variable","value"
"B2N","coef","x2",-0.375962449956194
"B2N","coef","tvc1",0.682738913350121
"B2N","coef","tvc2",-0.322095128156897
"B2N","vcov","v1_1",0.0044207713451452
"B2N","vcov","v1_2",-0.00017461725526945
"B2N","vcov","v1_3",-0.000127516170537335
"B2N","vcov","v2_2",0.00156348739190944
"B2N","vcov","v2_3",-1.47217682349605e-05
"B2N","vcov","v3_3",0.00426443988591989
"B2N","nobs","nevent",983
"B2N","coef_cl","x2",-0.375962449956194
"B2N","coef_cl","tvc1",0.682738913350121
"B2N","coef_cl","tvc2",-0.322095128156897
"B2N","vcov_cl","v1_1",0.00436126257696373
"B2N","vcov_cl","v1_2",-0.000183641699879006
"B2N","vcov_cl","v1_3",0.000123473057745749
"B2N","vcov_cl","v2_2",0.00159585266140699
"B2N","vcov_cl","v2_3",-1.83656248455844e-05
"B2N","vcov_cl","v3_3",0.0040266383877775
"B2N","nobs_cl","nevent",983
"B2N","nint","nint",2
"B3","coef","x2",-0.452506490103955
"B3","coef","tvc1",0.805899931956169
"B3","coef","tvc2",-0.110302499516864
"B3","coef","tvc3",-0.394751634428752
"B3","vcov","v1_1",0.00641622463741126
"B3","vcov","v1_2",-0.000231027230593613
"B3","vcov","v1_3",-0.000253822589496843
"B3","vcov","v1_4",-0.000137957533804625
"B3","vcov","v2_2",0.00394693218276063
"B3","vcov","v2_3",0.000388023838602911
"B3","vcov","v2_4",0.000153843553024423
"B3","vcov","v3_3",0.00359334463285328
"B3","vcov","v3_4",-0.000158450548171623
"B3","vcov","v4_4",0.0107082247711602
"B3","nobs","nevent",692
"B3","coef_cl","x2",-0.452506490103955
"B3","coef_cl","tvc1",0.805899931956169
"B3","coef_cl","tvc2",-0.110302499516864
"B3","coef_cl","tvc3",-0.394751634428752
"B3","vcov_cl","v1_1",0.00609721712187068
"B3","vcov_cl","v1_2",-8.33980147561049e-05
"B3","vcov_cl","v1_3",-0.000342559253890028
"B3","vcov_cl","v1_4",-0.000288189839467091
"B3","vcov_cl","v2_2",0.00377657514360953
"B3","vcov_cl","v2_3",0.000446120853047981
"B3","vcov_cl","v2_4",0.00052724116237894
"B3","vcov_cl","v3_3",0.00383581219046116
"B3","vcov_cl","v3_4",6.74237171617758e-05
"B3","vcov_cl","v4_4",0.0108974747101438
"B3","nobs_cl","nevent",692
"B3","nint","nint",3
"B2","coef","x2",-0.390070413788027
"B2","coef","tvc1",0.742059192426566
"B2","coef","tvc2",-0.109718037259319
"B2","vcov","v1_1",0.00618358144206886
"B2","vcov","v1_2",0.000132747993492329
"B2","vcov","v1_3",1.44969141107576e-05
"B2","vcov","v2_2",0.00257288804437217
"B2","vcov","v2_3",0.000132476411832659
"B2","vcov","v3_3",0.00504397149959218
"B2","nobs","nevent",687
"B2","coef_cl","x2",-0.390070413788027
"B2","coef_cl","tvc1",0.742059192426566
"B2","coef_cl","tvc2",-0.109718037259319
"B2","vcov_cl","v1_1",0.00564039174427369
"B2","vcov_cl","v1_2",-2.72199292994733e-05
"B2","vcov_cl","v1_3",-0.000119998968254831
"B2","vcov_cl","v2_2",0.00249846091002736
"B2","vcov_cl","v2_3",0.000122393444752381
"B2","vcov_cl","v3_3",0.00495957112485303
"B2","nobs_cl","nevent",687
"B2","nint","nint",2
