"c","x","m","y"
63.7095844714667,0,1,1
44.3530182860391,0,1,0
53.6312841133734,1,1,0
56.3286260496104,0,0,1
54.04268323141,0,0,0
48.9387548390852,0,0,0
65.1152199743894,0,0,0
49.053409615869,1,1,0
70.1842371387704,0,1,1
49.3728590094758,0,0,0
63.0486965422349,0,0,0
72.8664539270111,1,1,1
36.1113929888766,1,1,0
47.2121123318263,0,0,0
48.6667866360634,0,1,0
56.3595039807007,1,1,1
47.1574707858393,0,1,0
23.4354457909522,0,0,0
25.5953307142448,0,0,0
63.2011334573019,0,0,0
46.9336140592153,0,0,1
32.1869156602,1,1,0
48.2808264424038,0,0,0
62.146746991726,1,1,0
68.9519346126497,1,1,0
45.695308683938,1,1,0
47.4273061723107,0,1,0
32.3683691480522,0,1,1
54.6009735483127,0,0,0
43.6000512403988,0,1,0
54.5545012324122,0,1,0
57.0483733722882,0,0,0
60.3510352196992,0,0,0
43.9107362459279,0,0,1
55.0495512329797,0,1,0
32.8299132092666,0,0,0
42.155409916205,0,1,0
41.4909240582348,1,1,0
25.8579235005337,0,1,0
50.3612260689226,0,0,0
52.0599860020025,1,1,0
46.3894270145133,0,0,0
57.5816323569952,0,1,1
42.7329517292342,0,0,0
36.3171895558071,0,0,0
54.3281802588872,1,1,0
41.8860682381333,0,1,0
64.4410126172125,1,0,0
45.6855379738665,1,0,0
56.5564788340221,0,0,1
53.2192526520395,1,1,0
42.1616105911962,0,1,0
65.7572751979198,0,1,0
56.4289930571732,1,1,0
50.8976064659961,0,0,0
52.7655074729146,1,1,0
56.7928881605527,0,0,0
50.8983288657908,1,1,0
20.0690991684707,0,0,0
52.8488295353066,0,0,0
46.3276535725902,0,1,1
51.8523056486561,1,1,0
55.8182372736551,0,0,1
63.9973682729268,1,1,0
42.7270794052554,0,0,0
63.0254263204414,0,0,0
53.3584811975207,0,1,1
60.3850609869762,0,0,0
59.2072856829065,1,1,0
57.2087816286686,1,0,1
39.5688106143214,0,0,0
49.0981361338929,0,1,0
56.2351816199954,0,1,0
40.4647664222766,0,0,0
44.5717118542614,1,1,0
55.8099649768168,0,0,0
57.6817873783459,0,0,0
54.6376758854017,0,0,0
41.1422370259032,0,1,0
39.0021910135214,0,0,0
65.1270700980493,0,0,0
52.5792143753203,0,0,1
50.8844022915959,0,0,1
48.7910346246091,0,0,0
38.0567110483947,0,0,0
56.1199689804039,1,1,1
47.8286015425348,0,0,0
48.1724329366808,0,1,0
59.3334632857116,1,0,0
58.2177311050825,0,0,0
63.9211637593427,1,1,1
45.2382607694533,1,0,0
56.5034856072631,0,0,0
63.9111045639,0,1,0
38.892111205521,0,0,0
41.3920741312216,0,1,0
38.6826131914623,1,0,0
35.407860004976,0,0,0
50.7998255324116,0,1,0
56.5320433964919,0,1,1
62.0096537559849,0,1,0
60.4475108716773,0,1,0
39.9679135316015,1,1,0
68.4848190167275,1,1,0
43.3322659124218,0,1,1
51.0551381245607,1,1,0
45.7774411813114,0,1,0
48.7764982804503,0,1,0
