scenario,scale,level,effect,stata_effect,point,se,point_abs_tol,se_abs_tol,se_rel_tol,python_boot_reps,stata_boot_reps,stata_mc_sims,source,notes
oce_mlogit_logit,rd,1,tce,tce_1,0.10798810274550225,0.047228683612385768,0.035000000000000003,0.021999999999999999,0.40000000000000002,300,100,9000,statsmodels_plugin_bootstrap,OCE categorical exposure; multinomial mediator; binary outcome; baseline x=0; control m=0
oce_mlogit_logit,rd,1,nde,nde_1,0.097858750359961832,0.044557401575097064,0.035000000000000003,0.021999999999999999,0.40000000000000002,300,100,9000,statsmodels_plugin_bootstrap,OCE categorical exposure; multinomial mediator; binary outcome; baseline x=0; control m=0
oce_mlogit_logit,rd,1,nie,nie_1,0.010129352385540413,0.012617898614136312,0.035000000000000003,0.021999999999999999,0.40000000000000002,300,100,9000,statsmodels_plugin_bootstrap,OCE categorical exposure; multinomial mediator; binary outcome; baseline x=0; control m=0
oce_mlogit_logit,rd,1,pm,pm_1,0.093800632921688262,0.23844928683880429,0.059999999999999998,0.021999999999999999,0.40000000000000002,300,100,9000,statsmodels_plugin_bootstrap,OCE categorical exposure; multinomial mediator; binary outcome; baseline x=0; control m=0
oce_mlogit_logit,rd,1,cde,cde_1,0.086067953011345066,0.039767117316097327,0.035000000000000003,0.021999999999999999,0.40000000000000002,300,100,9000,statsmodels_plugin_bootstrap,OCE categorical exposure; multinomial mediator; binary outcome; baseline x=0; control m=0
oce_mlogit_logit,rd,2,tce,tce_2,0.17975766294390583,0.048348635423285644,0.035000000000000003,0.021999999999999999,0.40000000000000002,300,100,9000,statsmodels_plugin_bootstrap,OCE categorical exposure; multinomial mediator; binary outcome; baseline x=0; control m=0
oce_mlogit_logit,rd,2,nde,nde_2,0.13397853621147343,0.048209889020444444,0.035000000000000003,0.021999999999999999,0.40000000000000002,300,100,9000,statsmodels_plugin_bootstrap,OCE categorical exposure; multinomial mediator; binary outcome; baseline x=0; control m=0
oce_mlogit_logit,rd,2,nie,nie_2,0.045779126732432396,0.013609022141567964,0.035000000000000003,0.021999999999999999,0.40000000000000002,300,100,9000,statsmodels_plugin_bootstrap,OCE categorical exposure; multinomial mediator; binary outcome; baseline x=0; control m=0
oce_mlogit_logit,rd,2,pm,pm_2,0.25467135020952053,0.11482164780065637,0.059999999999999998,0.021999999999999999,0.40000000000000002,300,100,9000,statsmodels_plugin_bootstrap,OCE categorical exposure; multinomial mediator; binary outcome; baseline x=0; control m=0
oce_mlogit_logit,rd,2,cde,cde_2,0.11991902771521568,0.044683288050969126,0.035000000000000003,0.021999999999999999,0.40000000000000002,300,100,9000,statsmodels_plugin_bootstrap,OCE categorical exposure; multinomial mediator; binary outcome; baseline x=0; control m=0
specific_mlogit_logit,rd,,tce,tce,0.17975766294390583,0.049547469131930713,0.032000000000000001,0.021999999999999999,0.40000000000000002,300,100,9000,statsmodels_plugin_bootstrap,specific comparison x=2 versus x=0; multinomial mediator; binary outcome; control m=0
specific_mlogit_logit,rd,,nde,nde,0.13397853621147343,0.049274982857410138,0.032000000000000001,0.021999999999999999,0.40000000000000002,300,100,9000,statsmodels_plugin_bootstrap,specific comparison x=2 versus x=0; multinomial mediator; binary outcome; control m=0
specific_mlogit_logit,rd,,nie,nie,0.045779126732432396,0.013813830420624975,0.032000000000000001,0.021999999999999999,0.40000000000000002,300,100,9000,statsmodels_plugin_bootstrap,specific comparison x=2 versus x=0; multinomial mediator; binary outcome; control m=0
specific_mlogit_logit,rd,,pm,pm,0.25467135020952053,0.11291402716802118,0.059999999999999998,0.021999999999999999,0.40000000000000002,300,100,9000,statsmodels_plugin_bootstrap,specific comparison x=2 versus x=0; multinomial mediator; binary outcome; control m=0
specific_mlogit_logit,rd,,cde,cde,0.11991902771521568,0.045763801587491479,0.032000000000000001,0.021999999999999999,0.40000000000000002,300,100,9000,statsmodels_plugin_bootstrap,specific comparison x=2 versus x=0; multinomial mediator; binary outcome; control m=0
linexp_linear_linear,rd,,tce,tce,0.85393324625457079,0.039118055260171522,0.050000000000000003,0.024,0.34000000000000002,300,100,9000,statsmodels_plugin_bootstrap,continuous exposure one-unit shift; linear mediator/outcome; control m=0
linexp_linear_linear,rd,,nde,nde,0.39770459194705121,0.04144308454960937,0.050000000000000003,0.024,0.34000000000000002,300,100,9000,statsmodels_plugin_bootstrap,continuous exposure one-unit shift; linear mediator/outcome; control m=0
linexp_linear_linear,rd,,nie,nie,0.45622865430751958,0.032539206806962248,0.050000000000000003,0.024,0.34000000000000002,300,100,9000,statsmodels_plugin_bootstrap,continuous exposure one-unit shift; linear mediator/outcome; control m=0
linexp_linear_linear,rd,,pm,pm,0.53426735205425024,0.037828815987439521,0.059999999999999998,0.024,0.34000000000000002,300,100,9000,statsmodels_plugin_bootstrap,continuous exposure one-unit shift; linear mediator/outcome; control m=0
linexp_linear_linear,rd,,cde,cde,0.39770459194705143,0.041443084549609363,0.050000000000000003,0.024,0.34000000000000002,300,100,9000,statsmodels_plugin_bootstrap,continuous exposure one-unit shift; linear mediator/outcome; control m=0
