"id","time","treat","age","educ","black","hispan","white","married","nodegree","re74","re75","re78","r_iptw"
1,0,1,37,11,1,0,0,1,1,0,0,9930.046,0.471692413638494
2,0,1,22,9,0,1,0,0,1,0,0,3595.894,1.34130455575425
3,0,1,30,12,1,0,0,0,0,0,0,24909.45,0.444239809139959
4,0,1,27,11,1,0,0,0,1,0,0,7506.146,0.388114885148326
5,0,1,33,8,1,0,0,0,1,0,0,289.7899,0.429427442306203
6,0,1,22,9,1,0,0,0,1,0,0,4056.494,0.431005440478533
7,0,1,23,12,1,0,0,0,0,0,0,0,0.460930373809913
8,0,1,32,11,1,0,0,0,1,0,0,8472.158,0.381529839689802
9,0,1,22,16,1,0,0,0,0,0,0,2164.022,0.386365933165358
10,0,1,33,12,0,0,1,1,0,0,0,12418.07,7.01935086106454
11,0,1,19,9,1,0,0,0,1,0,0,8173.908,0.437292019678347
12,0,1,21,13,1,0,0,0,0,0,0,17094.64,0.441505722205461
13,0,1,18,8,1,0,0,0,1,0,0,0,0.463637362535344
14,0,1,27,10,1,0,0,1,1,0,0,18739.93,0.535734675385362
15,0,1,17,7,1,0,0,0,1,0,0,3023.879,0.49508662292015
16,0,1,19,10,1,0,0,0,1,0,0,3228.503,0.417033843431381
17,0,1,27,13,1,0,0,0,0,0,0,14581.86,0.428842601534426
18,0,1,23,10,1,0,0,0,1,0,0,7693.4,0.409955949953642
19,0,1,40,12,1,0,0,0,0,0,0,10804.32,0.423377540617897
20,0,1,26,12,1,0,0,0,0,0,0,10747.35,0.453551027627856
21,0,1,23,11,1,0,0,0,1,0,0,0,0.393770004252471
22,0,1,41,14,0,0,1,0,0,0,0,5149.501,2.16740916598003
23,0,1,38,9,0,0,1,0,1,0,0,6408.95,2.46198241817635
24,0,1,24,11,1,0,0,0,1,0,0,1991.4,0.392322592664538
25,0,1,18,10,1,0,0,0,1,0,0,11163.17,0.418874217927464
26,0,1,29,11,1,0,0,1,1,0,0,9642.999,0.494614543293942
27,0,1,25,11,1,0,0,0,1,0,0,9897.049,0.390897837793691
28,0,1,27,10,0,1,0,0,1,0,0,11142.87,1.1192399359825
29,0,1,17,10,1,0,0,0,1,0,0,16218.04,0.420743858401254
30,0,1,24,11,1,0,0,0,1,0,0,995.7002,0.392322592664538
31,0,1,17,10,1,0,0,0,1,0,0,0,0.420743858401254
32,0,1,48,4,1,0,0,0,1,0,0,6551.592,0.494087622364166
33,0,1,25,11,1,0,0,1,1,0,0,1574.424,0.507207281317161
34,0,1,20,12,1,0,0,0,0,0,0,0,0.468667391131997
35,0,1,25,12,1,0,0,0,0,0,0,3191.753,0.455972105182424
36,0,1,42,14,1,0,0,0,0,0,0,20505.93,0.386969659510347
37,0,1,25,5,1,0,0,0,1,0,0,6181.88,0.537139658384933
38,0,1,23,12,1,0,0,1,0,0,0,5911.551,0.668153973486866
39,0,1,46,8,1,0,0,1,1,0,0,3094.156,0.541152967957167
