case_id,era,year,code,case_kind,expected_score,expected_mi,expected_chf,expected_pvd,expected_cevd,expected_copd,expected_pulm,expected_rheum,expected_dem,expected_plegia,expected_diab,expected_diabcomp,expected_renal,expected_livmild,expected_livsev,expected_pud,expected_cancer,expected_mets,expected_aids
1,7,1968,140,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,7,1968,141,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,7,1968,142,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,7,1968,143,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,7,1968,144,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,7,1968,145,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,7,1968,146,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,7,1968,147,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,7,1968,148,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,7,1968,149,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,7,1968,150,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,7,1968,151,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,7,1968,152,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,7,1968,153,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,7,1968,154,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,7,1968,155,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,7,1968,156,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,7,1968,15691,authoritative_prefix,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,7,1968,157,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,7,1968,158,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,7,1968,159,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,7,1968,160,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,7,1968,161,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,7,1968,162,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,7,1968,163,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,7,1968,164,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,7,1968,165,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,7,1968,166,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,7,1968,167,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,7,1968,168,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,7,1968,169,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,7,1968,170,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33,7,1968,171,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,7,1968,172,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,7,1968,173,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,7,1968,174,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,7,1968,175,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,7,1968,176,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,7,1968,177,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,7,1968,178,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,7,1968,179,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,7,1968,180,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,7,1968,181,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,7,1968,182,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45,7,1968,183,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,7,1968,184,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,7,1968,185,authoritative_prefix,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
