"id","group","category"
1,1,2
2,1,1
3,1,2
4,1,3
5,1,3
6,1,2
7,1,1
8,1,3
9,1,1
10,1,2
11,1,3
12,1,2
13,1,1
14,1,1
15,1,2
16,1,3
17,1,2
18,1,2
19,1,2
20,1,3
21,1,3
22,1,1
23,1,1
24,1,3
25,1,1
26,1,1
27,1,1
28,1,1
29,1,2
30,1,2
31,1,3
32,1,3
33,1,1
34,1,1
35,1,2
36,1,2
37,1,1
38,1,2
39,1,2
40,1,2
41,1,2
42,1,2
43,1,2
44,1,2
45,1,2
46,1,2
47,1,2
48,1,2
49,1,2
50,1,3
51,1,2
52,1,2
53,1,1
54,1,2
55,1,1
56,1,2
57,1,2
58,1,1
59,1,3
60,1,2
61,1,1
62,1,2
63,1,2
64,1,2
65,1,3
66,1,2
67,1,3
68,1,3
69,1,1
70,1,2
71,1,1
72,1,1
73,1,1
74,1,2
75,1,2
76,1,2
77,1,2
78,1,1
79,1,2
80,1,2
81,1,2
82,1,1
83,1,2
84,1,1
85,1,2
86,1,2
87,1,3
88,1,3
89,1,3
90,1,2
91,1,2
92,1,1
93,1,2
94,1,1
95,1,2
96,1,2
97,1,1
98,1,2
99,1,2
100,1,1
101,1,1
102,1,2
103,1,2
104,1,3
105,1,2
106,1,3
107,1,3
108,1,1
109,1,2
110,1,2
111,1,3
112,1,2
113,1,2
114,1,3
115,1,1
116,1,2
117,1,1
118,1,3
119,1,1
120,1,2
121,1,1
122,1,2
123,1,2
124,1,2
125,1,2
126,1,3
127,1,2
128,1,2
129,1,2
130,1,1
131,1,1
132,1,3
133,1,1
134,1,1
135,1,1
136,1,1
137,1,3
138,1,1
139,1,3
140,1,2
141,1,2
142,1,2
143,1,2
144,1,2
145,1,3
146,1,2
147,1,2
148,1,2
149,1,2
150,1,1
151,1,3
152,1,2
153,1,2
154,1,2
155,1,2
156,1,2
157,1,1
158,1,2
159,1,2
160,1,2
161,1,1
162,1,2
163,1,1
164,1,2
165,1,2
166,1,1
167,1,1
168,1,2
169,1,2
170,1,2
171,1,1
172,1,2
173,1,3
174,1,1
175,1,1
176,1,1
177,1,2
178,1,1
179,1,3
180,1,1
181,1,3
182,1,2
183,1,1
184,1,2
185,1,1
186,1,2
187,1,2
188,1,1
189,1,3
190,1,3
191,1,2
192,1,2
193,1,3
194,1,1
195,1,3
196,1,2
197,1,2
198,1,1
199,1,2
200,1,1
201,2,1
202,2,3
203,2,2
204,2,2
205,2,1
206,2,3
207,2,1
208,2,1
209,2,1
210,2,1
211,2,2
212,2,1
213,2,1
214,2,2
215,2,1
216,2,2
217,2,1
218,2,1
219,2,3
220,2,3
221,2,1
222,2,3
223,2,2
224,2,2
225,2,1
226,2,1
227,2,2
228,2,2
229,2,2
230,2,3
231,2,2
232,2,1
233,2,2
234,2,1
235,2,1
236,2,1
237,2,1
238,2,3
239,2,1
240,2,3
241,2,2
242,2,2
243,2,1
244,2,2
245,2,1
246,2,2
247,2,1
248,2,3
249,2,3
250,2,2
251,2,1
252,2,1
253,2,2
254,2,1
255,2,2
256,2,2
257,2,1
258,2,1
259,2,2
260,2,3
261,2,3
262,2,3
263,2,2
264,2,3
265,2,2
266,2,2
267,2,1
268,2,1
269,2,1
270,2,2
271,2,3
272,2,1
273,2,1
274,2,1
275,2,2
276,2,2
277,2,3
278,2,2
279,2,1
280,2,2
281,2,2
282,2,1
283,2,1
284,2,1
285,2,1
286,2,1
287,2,1
288,2,1
289,2,1
290,2,2
291,2,1
292,2,1
293,2,1
294,2,3
295,2,2
296,2,3
297,2,3
298,2,1
299,2,1
300,2,2
301,2,2
302,2,1
303,2,2
304,2,2
305,2,2
306,2,2
307,2,1
308,2,1
309,2,2
310,2,2
311,2,1
312,2,2
313,2,2
314,2,1
315,2,1
316,2,3
317,2,3
318,2,1
319,2,1
320,2,3
321,2,3
322,2,1
323,2,1
324,2,2
325,2,1
326,2,1
327,2,3
328,2,1
329,2,1
330,2,3
331,2,2
332,2,1
333,2,2
334,2,3
335,2,1
336,2,2
337,2,2
338,2,2
339,2,2
340,2,3
341,2,1
342,2,1
343,2,2
344,2,1
345,2,2
346,2,1
347,2,3
348,2,1
349,2,1
350,2,2
351,2,1
352,2,3
353,2,2
354,2,1
355,2,2
356,2,3
357,2,2
358,2,1
359,2,1
360,2,3
361,2,1
362,2,1
363,2,3
364,2,1
365,2,1
366,2,2
367,2,1
368,2,1
369,2,1
370,2,2
371,2,1
372,2,1
373,2,3
374,2,2
375,2,2
376,2,3
377,2,2
378,2,1
379,2,1
380,2,3
381,2,2
382,2,2
383,2,1
384,2,2
385,2,2
386,2,3
387,2,1
388,2,1
389,2,1
390,2,1
391,2,3
392,2,1
393,2,2
394,2,2
395,2,1
396,2,1
397,2,1
398,2,1
399,2,1
400,2,3
