"cut","n1","n0","risk1","risk0","RR","llr","p"
"12",122,669,0.125902992776058,0.0754653130287648,1.66835580113565,11.9950572920569,0.001
"11",132,782,0.136222910216718,0.0882120699379583,1.54426611134426,9.61216478196548,0.01
"15",133,822,0.137254901960784,0.0927241962774958,1.48024903392014,8.00848444842427,0.059
"V01-V99",210,1438,0.21671826625387,0.162210941906373,1.33602742026464,7.15460899079335,0.14
"V01-X59",241,1687,0.248710010319917,0.190298928369994,1.30694383016364,7.06586749819292,0.144
"H722",4,1,0.00412796697626419,0.000112803158488438,36.594427244582,6.87106845609711,0.158
"18",114,712,0.117647058823529,0.0803158488437676,1.46480502313285,6.52636540528528,0.359
"O36",7,9,0.00722394220846233,0.00101522842639594,7.1155830753354,6.18994120131669,0.404
"E70-E90",47,236,0.0485036119711042,0.0266215454032713,1.82196830560949,6.1560034825971,0.427
"02",207,1452,0.213622291021672,0.163790186125212,1.30424353299388,5.98002112853317,0.432
"S34",10,21,0.0103199174406605,0.00236886632825719,4.35647943387881,5.85901456263909,0.459
"16",109,690,0.112487100103199,0.077834179357022,1.44521469915197,5.83542969643332,0.465
"V90-V94",24,94,0.0247678018575851,0.0106034968979131,2.33581450497332,5.76936421030564,0.495
"O99",7,10,0.00722394220846233,0.00112803158488438,6.40402476780186,5.74129847157557,0.495
"A20-A28",25,103,0.0257997936016512,0.0116187253243091,2.22053563377318,5.40720596442284,0.687
"19",306,2281,0.315789473684211,0.257304004512126,1.22730104524793,5.37176336010032,0.687
"01",207,1483,0.213622291021672,0.167287084038353,1.27698018200076,5.1050825798286,0.789
"05",114,747,0.117647058823529,0.0842639593908629,1.39617292700213,5.07421942144987,0.791
"O94-O99",16,54,0.0165118679050568,0.00609137055837563,2.71069831441348,5.05095489518321,0.791
"C00-C14",28,125,0.0288957688338493,0.0141003948110547,2.04928792569659,5.03621536786909,0.794
"09",98,626,0.101135190918473,0.070614777213762,1.43221001196847,5.00815111126747,0.794
"06",89,558,0.0918472652218782,0.0629441624365482,1.459186391025,4.99986302474446,0.795
"K20-K31",29,132,0.0299277605779154,0.0148900169204738,2.00992119335773,4.97108422405466,0.8
"A169",3,1,0.00309597523219814,0.000112803158488438,27.4458204334365,4.8064035592317,0.837
