"dataset","config","metric","value_r","value_stata","abs_diff","rel_diff","tolerance","status"
"ccw_simulated","3A_ITT_logistic_quad_mfu12","coef",-0.967366310426693,-0.96735304080955,1.32696171427638e-05,1.37174501789531e-05,0.005,"PASS"
"ccw_simulated","3A_ITT_logistic_quad_mfu12","n_expanded",323050,323050,0,0,0,"PASS"
"ccw_simulated","3A_ITT_logistic_quad_mfu12","or_hr",0.380082741023994,0.380087784609913,5.04358591874032e-06,1.32695291008013e-05,0.01,"PASS"
"ccw_simulated","3A_ITT_logistic_quad_mfu12","pred_arm0_t0",0.0204420731359046,0.0204420801540584,7.01815379769433e-09,3.43318964841306e-07,0.005,"PASS"
"ccw_simulated","3A_ITT_logistic_quad_mfu12","pred_arm0_t12",0.250178430574744,0.250178508916467,7.83417234417882e-08,3.1314329828365e-07,0.005,"PASS"
"ccw_simulated","3A_ITT_logistic_quad_mfu12","pred_arm0_t3",0.080476817827695,0.0804768446902399,2.68625448968107e-08,3.33792223094807e-07,0.005,"PASS"
"ccw_simulated","3A_ITT_logistic_quad_mfu12","pred_arm0_t6",0.138696772510599,0.138696817682598,4.51719985861132e-08,3.25688788977752e-07,0.005,"PASS"
"ccw_simulated","3A_ITT_logistic_quad_mfu12","pred_arm0_t9",0.195231401692705,0.195231463943712,6.22510072101345e-08,3.18857452342222e-07,0.005,"PASS"
"ccw_simulated","3A_ITT_logistic_quad_mfu12","pred_arm1_t0",0.00790034407183304,0.0079004505455559,1.06473722861003e-07,1.34769178348817e-05,0.005,"PASS"
"ccw_simulated","3A_ITT_logistic_quad_mfu12","pred_arm1_t12",0.107288699405427,0.107290047335212,1.34792978530307e-06,1.25634186840431e-05,0.005,"PASS"
"ccw_simulated","3A_ITT_logistic_quad_mfu12","pred_arm1_t3",0.0318994761912994,0.0318998991247427,4.22933443294804e-07,1.32581435960329e-05,0.005,"PASS"
"ccw_simulated","3A_ITT_logistic_quad_mfu12","pred_arm1_t6",0.0564095465455779,0.0564102817770801,7.35231502201061e-07,1.30336434961718e-05,0.005,"PASS"
"ccw_simulated","3A_ITT_logistic_quad_mfu12","pred_arm1_t9",0.081512254887126,0.0815132984544569,1.04356733089672e-06,1.28024181413758e-05,0.005,"PASS"
"ccw_simulated","3A_ITT_logistic_quad_mfu12","pred_diff_t0",-0.0125417290640716,-0.0125416296085025,9.94555690997379e-08,7.9300355858311e-06,0.005,"PASS"
"ccw_simulated","3A_ITT_logistic_quad_mfu12","pred_diff_t12",-0.142889731169318,-0.142888461581255,1.26958806290212e-06,8.88516853532047e-06,0.005,"PASS"
"ccw_simulated","3A_ITT_logistic_quad_mfu12","pred_diff_t3",-0.0485773416363956,-0.0485769455654972,3.96070898397993e-07,8.15347473554021e-06,0.005,"PASS"
"ccw_simulated","3A_ITT_logistic_quad_mfu12","pred_diff_t6",-0.0822872259650209,-0.0822865359055175,6.90059503399842e-07,8.38605606380341e-06,0.005,"PASS"
"ccw_simulated","3A_ITT_logistic_quad_mfu12","pred_diff_t9",-0.113719146805579,-0.113718165489255,9.81316323700465e-07,8.62937174090436e-06,0.005,"PASS"
"ccw_simulated","3A_ITT_logistic_quad_mfu12","se",0.169590733669712,0.169586877075101,3.85659461060728e-06,2.27411146258645e-05,0.01,"PASS"
"ccw_simulated","3B_PP_logistic_quad_strat_trunc_mfu12","coef",-1.02719122977769,-1.02717755325218,1.36765255098759e-05,1.33146654797646e-05,0.02,"PASS"
"ccw_simulated","3B_PP_logistic_quad_strat_trunc_mfu12","or_hr",0.358011120656458,0.358016017038167,4.89638170897422e-06,1.36764319917347e-05,0.05,"PASS"
"ccw_simulated","3B_PP_logistic_quad_strat_trunc_mfu12","pred_arm0_t0",0.0204442313852997,0.0204442375302822,6.1449825020099e-09,3.0057283833197e-07,0.02,"PASS"
"ccw_simulated","3B_PP_logistic_quad_strat_trunc_mfu12","pred_arm0_t12",0.255107877475263,0.255107951927909,7.44526455487282e-08,2.91847607987414e-07,0.02,"PASS"
"ccw_simulated","3B_PP_logistic_quad_strat_trunc_mfu12","pred_arm0_t3",0.0811914990347499,0.0811915232272687,2.41925188076975e-08,2.97968529793172e-07,0.02,"PASS"
"ccw_simulated","3B_PP_logistic_quad_strat_trunc_mfu12","pred_arm0_t6",0.140774356091472,0.140774397718202,4.16267304792495e-08,2.95698160702321e-07,0.02,"PASS"
"ccw_simulated","3B_PP_logistic_quad_strat_trunc_mfu12","pred_arm0_t9",0.198849201871468,0.198849260270523,5.83990550917513e-08,2.93685050737944e-07,0.02,"PASS"
"ccw_simulated","3B_PP_logistic_quad_strat_trunc_mfu12","pred_arm1_t0",0.0074476488984313,0.0074477520107434,1.03112312100154e-07,1.38447563709713e-05,0.02,"PASS"
"ccw_simulated","3B_PP_logistic_quad_strat_trunc_mfu12","pred_arm1_t12",0.103890598283671,0.10389194393121,1.34564753899447e-06,1.29523761715871e-05,0.02,"PASS"
"ccw_simulated","3B_PP_logistic_quad_strat_trunc_mfu12","pred_arm1_t3",0.0303808490419303,0.0303812633031831,4.14261252797837e-07,1.36354189311948e-05,0.02,"PASS"
"ccw_simulated","3B_PP_logistic_quad_strat_trunc_mfu12","pred_arm1_t6",0.0541492010135025,0.0541499275251507,7.26511648202477e-07,1.34166688933247e-05,0.02,"PASS"
"ccw_simulated","3B_PP_logistic_quad_strat_trunc_mfu12","pred_arm1_t9",0.0786798304018986,0.0786808681117389,1.03770984029306e-06,1.31888458426685e-05,0.02,"PASS"
"ccw_simulated","3B_PP_logistic_quad_strat_trunc_mfu12","pred_diff_t0",-0.0129965824868684,-0.0129964855195388,9.69673295998785e-08,7.46104240674132e-06,0.02,"PASS"
"ccw_simulated","3B_PP_logistic_quad_strat_trunc_mfu12","pred_diff_t12",-0.151217279191592,-0.151216007996698,1.27119489351513e-06,8.40648361476968e-06,0.02,"PASS"
"ccw_simulated","3B_PP_logistic_quad_strat_trunc_mfu12","pred_diff_t3",-0.0508106499928196,-0.0508102599240856,3.90068733993609e-07,7.67696789145345e-06,0.02,"PASS"
"ccw_simulated","3B_PP_logistic_quad_strat_trunc_mfu12","pred_diff_t6",-0.08662515507797,-0.0866244701930518,6.84884918195072e-07,7.9063677580796e-06,0.02,"PASS"
