fixture	sha256	bytes	rows	columns	schema	producer	consumers	classification
_tv_base.dta	9f2a0c409089224351afb791f54dd068f55e50f95e82fd6c1762ec5b53e5fff9	30481	3859	4	id:int16:%12.0g|dmt_start:int16:%tdCCYY/NN/DD|dmt_stop:int16:%tdCCYY/NN/DD|tv_dmt:int8:%17.0g	test_tvevent.do	test_tvevent.do	canonical
_tv_dmt.dta	86cdfd2a47af2a190f1c3ba80d8cdaf10be3ee8a09716435cff43d824f2a22c6	30480	3859	4	id:int16:%12.0g|dmt_start:int16:%tdCCYY/NN/DD|dmt_stop:int16:%tdCCYY/NN/DD|tv_dmt:int8:%17.0g	test_tvmerge.do	test_tvmerge.do	canonical
_tv_hrt.dta	2ecc35cd1a81d51f00d27afb2eaed3f8711a18084006f03ac71e8cc5b5432a38	31648	4036	4	id:int16:%12.0g|rx_start:int16:%tdCCYY/NN/DD|rx_stop:int16:%tdCCYY/NN/DD|tv_hrt:int8:%9.0g	test_tvmerge.do	test_tvmerge.do	canonical
_val_boundary_event.dta	b63ea2e09739044c494a5370f6679ca9689e01864b27c48e22bf06826dd0c4ed	2515	2	3	id:int32:%12.0g|start:double:%td|stop:double:%td	validation_pipeline.do	validation_pipeline.do	canonical
_val_cohort_e2e.dta	f8da73c7b28fbdb403139600bfd697384b593b9cba8ef4d8e96472a9801bdd3d	2495	1	3	id:int32:%12.0g|study_entry:double:%td|study_exit:double:%td	validation_pipeline.do	validation_pipeline.do	canonical
_val_cohort_merge.dta	d8c9859514367d059dd34434df8c653ecf6caaabb9c6828d371e3263a41a8e72	2495	1	3	id:int32:%12.0g|study_entry:double:%td|study_exit:double:%td	validation_pipeline.do	validation_pipeline.do	canonical
_val_cont_intervals.dta	72f9fc4942e959732f2465e451ec7dc0a06fa4237f86b980a1bf1035a4d92ecc	3143	1	4	id:int32:%12.0g|start:double:%td|stop:double:%td|cumul_dose:double:%10.0g	validation_pipeline.do	validation_pipeline.do	canonical
_val_cont_multi.dta	e6048f36b0fe0042cca3e69ef7860f0a70632d440066fe5cfe16359bdda6ca7a	3143	1	4	id:int32:%12.0g|start:double:%td|stop:double:%td|cumul_dose:double:%10.0g	validation_pipeline.do	validation_pipeline.do	canonical
_val_e2e_ds1.dta	a43f3f2082890174617e377d90193db70da074b18b6bd153526843d0a6eadaaf	3143	1	4	id:int32:%12.0g|start:double:%td|stop:double:%td|dose_rate:double:%10.0g	validation_pipeline.do	validation_pipeline.do	canonical
_val_e2e_ds2.dta	f2e32df7ddc05eb4bb4bc532ceeafcda5f2b8c1cad3403f41f0973ce90b518ee	3136	1	4	id:int32:%12.0g|start:double:%td|stop:double:%td|flag:int8:%8.0g	validation_pipeline.do	validation_pipeline.do	canonical
_val_e2e_merged.dta	74ff2ea4bebeadc95aacd5ee4758325a230ec5dd6f89f7d8f709bf7c8cde9aa2	3784	1	5	id:int32:%12.0g|start:double:%tdCCYY/NN/DD|stop:double:%tdCCYY/NN/DD|dose:double:%10.0g|marker:int8:%8.0g	validation_pipeline.do	validation_pipeline.do	canonical
_val_events_e2e.dta	3c59eff8b88d2300dbc6ec193ed8d0805c0b8bac8d77b660fa12b09e3174117a	1847	1	2	id:int32:%12.0g|event_dt:double:%td	validation_pipeline.do	validation_pipeline.do	canonical
_val_exp_a.dta	6cf7a551cc9991c2f50607fc3dcfb2531c1b7f3d25f7e46bdfa2bed621a38531	3136	1	4	id:int32:%12.0g|start:double:%td|stop:double:%td|drug_a:int8:%8.0g	validation_pipeline.do	validation_pipeline.do	canonical
_val_exp_b.dta	592db0182a4dcb852a6502b7b8c16d82d374ee9c1f96b1c0bcb06e6ee1c83152	3136	1	4	id:int32:%12.0g|start:double:%td|stop:double:%td|drug_b:int8:%8.0g	validation_pipeline.do	validation_pipeline.do	canonical
_val_exposure_e2e.dta	02e94ec6aee74c7c0117ef4207d6ce8148d04cb232622d02348f2e3aa5265241	3136	1	4	id:int32:%12.0g|start:double:%td|stop:double:%td|exp_type:int8:%8.0g	validation_pipeline.do	validation_pipeline.do	canonical
_val_label_cohort.dta	c4b33b78ca9dca1d5747fb32f6e6688db04ddcb70ac4cdde92a260e6bdfe76b6	3136	1	4	id:int32:%12.0g|study_entry:double:%td|study_exit:double:%td|female:int8:%8.0g	validation_pipeline.do	validation_pipeline.do	canonical
_val_label_exposure.dta	3ff0ca90933c5fc52a138359cb550d7a9ee6ecefb0687f5cdc9e7314ad8e720a	3136	1	4	id:int32:%12.0g|start:double:%td|stop:double:%td|exp_type:int8:%8.0g	validation_pipeline.do	validation_pipeline.do	canonical
_val_merge_ds1.dta	da2688e6f47f56ce0cc8e92f8edde81022464a19a65557acc311054b76457203	3143	1	4	id:int32:%12.0g|start:double:%td|stop:double:%td|dose_rate:double:%10.0g	validation_pipeline.do	validation_pipeline.do	canonical
_val_merge_ds2.dta	63226570e1172c0dfdb209bc819050e88e944e1b52dc2e688cf324415c603ba2	3136	1	4	id:int32:%12.0g|start:double:%td|stop:double:%td|other_var:int8:%8.0g	validation_pipeline.do	validation_pipeline.do	canonical
_val_missing_cont.dta	f4811bff09c317a6d3073033265e638e7c4a495e851f3a522e28f93bb78f9a33	3143	1	4	id:int32:%12.0g|start:double:%td|stop:double:%td|dose:double:%10.0g	validation_pipeline.do	validation_pipeline.do	canonical
_val_missing_event.dta	cc87be34a8bd4c9e9f975db785593a86dbcc962d8e294ba6edfe902f17e862ba	2495	1	3	id:int32:%12.0g|start:double:%td|stop:double:%td	validation_pipeline.do	validation_pipeline.do	canonical
_val_pt_cohort.dta	84a57b3e64a47e382b5ebff1e33e7954febc28a79ba0a53c72ca6109711dc956	3199	3	4	id:int32:%12.0g|study_entry:double:%td|study_exit:double:%td|expected_pt:double:%10.0g	validation_pipeline.do	validation_pipeline.do	canonical
_val_pt_exposure.dta	405e0d8d75933871d16319446520f32daf12b4aef5d13283b2c9631a25f53432	3199	4	4	id:int32:%12.0g|start:double:%td|stop:double:%td|exp_type:int8:%8.0g	validation_pipeline.do	validation_pipeline.do	canonical
_val_pt_single.dta	2e9975d50f9b50fc1e8fc9215eae57dce1eb09a0556817a40885cbf24f3f5053	3143	1	4	id:int32:%12.0g|start:double:%td|stop:double:%td|orig_pt:double:%10.0g	validation_pipeline.do	validation_pipeline.do	canonical
_val_start_event.dta	9dd29d36e0e6a6bdd05bdd1b14cb32bb5868abe98bd3919654b288a7e42e9171	2495	1	3	id:int32:%12.0g|start:double:%td|stop:double:%td	validation_pipeline.do	validation_pipeline.do	canonical
_val_tv_a.dta	648b64e883dbf8b5db0908307d615d83039ff34febcb2fec459cf5b7d42598b9	3369	2	4	id:int8:%12.0g|start:int16:%tdCCYY/NN/DD|stop:int16:%tdCCYY/NN/DD|tv_drug_a:int8:%9.0g	validation_pipeline.do	validation_pipeline.do	canonical
_val_tv_b.dta	26635021fb68d287a088a24e48c6aef60c3b586d7f36e15a308792802fe57650	3375	3	4	id:int8:%12.0g|start:int16:%tdCCYY/NN/DD|stop:int16:%tdCCYY/NN/DD|tv_drug_b:int8:%9.0g	validation_pipeline.do	validation_pipeline.do	canonical
_val_tv_data_e2e.dta	92e20c704e5392ca3b6b3d577815ece9ed6ecca24980ef4ab770f559a09e43ac	3382	3	4	id:int8:%12.0g|start:int16:%tdCCYY/NN/DD|stop:int16:%tdCCYY/NN/DD|tv_exp_type:int8:%9.0g	validation_pipeline.do	validation_pipeline.do	canonical
_val_vallbl_intervals.dta	f01d0fba741d6b77007e9ee61ea97fe72ca690181b41020e62d7fb9ba85d021e	2495	1	3	id:int32:%12.0g|start:double:%td|stop:double:%td	validation_pipeline.do	validation_pipeline.do	canonical
_val_zero_ds1.dta	a93d18a766c8a8dfdeb6f4a790814d1e81fd8e5c047a23724e50576d05bcefc7	3143	1	4	id:int32:%12.0g|start:double:%td|stop:double:%td|dose:double:%10.0g	validation_pipeline.do	validation_pipeline.do	canonical
_val_zero_ds2.dta	ed8562ccac386429c7efe1cf509ebb5f9857009e4b6b13a0eed87bd11dc22be7	3136	1	4	id:int32:%12.0g|start:double:%td|stop:double:%td|flag:int8:%8.0g	validation_pipeline.do	validation_pipeline.do	canonical
